code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
W96-1;Burgenland <AT11>;;Burgenland <AT11>;;;;;;
W96-2;Kärnten <AT21>;;Carinthia <AT21>;;;;;;
W96-3;Niederösterreich <AT12>;;Lower Austria <AT12>;;;;;;
W96-4;Oberösterreich <AT31>;;Upper Austria <AT31>;;;;;;
W96-5;Salzburg <AT32>;;Salzburg <AT32>;;;;;;
W96-6;Steiermark <AT22>;;Styria <AT22>;;;;;;
W96-7;Tirol <AT33>;;Tyrol <AT33>;;;;;;
W96-8;Vorarlberg <AT34>;;Vorarlberg <AT34>;;;;;;
W96-9;Wien <AT13>;;Vienna <AT13>;;;;;;
